T,Cb,disp_t,reserve_t,reserve_pct
25,0.85,8013215.669624998,-5762661.808774584,-71.9144728703435
25,0.9,8484581.297249999,-5291296.181149583,-62.36366882199107
25,0.95,8955946.924874999,-4819930.553524584,-53.81821256820207
30,0.85,9615858.803549998,-4160018.6748495847,-43.26206072528626
30,0.9,10181497.556699999,-3594379.9216995835,-35.30305735165923
30,0.95,10747136.309849996,-3028741.168549586,-28.18184380683509
35,0.85,11218501.937474998,-2557375.5409245845,-22.796052050245358
35,0.9,11878413.816149998,-1897463.6622495838,-15.974049158565052
35,0.95,12538325.694824997,-1237551.7835745849,-9.87015183443006
40,0.85,12821145.071399998,-954732.4069995843,-7.446545543964684
40,0.9,13575330.075599998,-200547.40279958397,-1.4772930137444207
40,0.95,14329515.079799997,553637.6014004145,3.8636171448736967
45,0.85,14423788.205324998,647910.7269254159,4.4919595164758395
45,0.9,15272246.335049998,1496368.8566504158,9.797961765560515
45,0.95,16120704.464774998,2344826.9863754157,14.54543746210996
50,0.85,16026431.339249996,2250553.8608504143,14.042763564828247
50,0.9,16969162.594499998,3193285.1161004156,18.81816558900446
50,0.95,17911893.849749997,4136016.371350415,23.090893715898964
